Year,UNIT_MEASURE,SERIES,Value,M49_country_code
2010,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),459.8,KAZ
2010,thousand people,Number of Beneficiaries: (unemployment benefits),16.5,KAZ
2010,thousand people,_L_KZ_010301_1B,1702.9,KAZ
2010,thousand people,_L_KZ_010301_1C,1677.2,KAZ
2010,thousand people,Number of Beneficiaries: (low-income individuals and households),194.5,KAZ
2011,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),545.0,KAZ
2011,thousand people,Number of Beneficiaries: (unemployment benefits),17.4,KAZ
2011,thousand people,_L_KZ_010301_1B,1740.0,KAZ
2011,thousand people,_L_KZ_010301_1C,1713.0,KAZ
2011,thousand people,Number of Beneficiaries: (low-income individuals and households),139.3,KAZ
2012,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),529.1,KAZ
2012,thousand people,Number of Beneficiaries: (unemployment benefits),14.4,KAZ
2012,thousand people,_L_KZ_010301_1B,1780.8,KAZ
2012,thousand people,_L_KZ_010301_1C,1753.2,KAZ
2012,thousand people,Number of Beneficiaries: (low-income individuals and households),97.3,KAZ
2013,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),551.0,KAZ
2013,thousand people,Number of Beneficiaries: (unemployment benefits),18.8,KAZ
2013,thousand people,_L_KZ_010301_1B,1840.5,KAZ
2013,thousand people,_L_KZ_010301_1C,1810.5,KAZ
2013,thousand people,Number of Beneficiaries: (low-income individuals and households),60.7,KAZ
2014,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),591.3,KAZ
2014,thousand people,Number of Beneficiaries: (unemployment benefits),18.3,KAZ
2014,thousand people,_L_KZ_010301_1B,1914.8,KAZ
2014,thousand people,_L_KZ_010301_1C,1883.3,KAZ
2014,thousand people,Number of Beneficiaries: (low-income individuals and households),56.1,KAZ
2015,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),541.4,KAZ
2015,thousand people,Number of Beneficiaries: (unemployment benefits),26.1,KAZ
2015,thousand people,_L_KZ_010301_1B,1977.6,KAZ
2015,thousand people,_L_KZ_010301_1C,1943.4,KAZ
2015,thousand people,Number of Beneficiaries: (low-income individuals and households),38.2,KAZ
2016,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),581.5,KAZ
2016,thousand people,Number of Beneficiaries: (unemployment benefits),32.9,KAZ
2016,thousand people,_L_KZ_010301_1B,2040.9,KAZ
2016,thousand people,_L_KZ_010301_1C,2013.3,KAZ
2016,thousand people,Number of Beneficiaries: (low-income individuals and households),28.8,KAZ
2017,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),538.5,KAZ
2017,thousand people,Number of Beneficiaries: (unemployment benefits),35.8,KAZ
2017,thousand people,_L_KZ_010301_1B,2112.8,KAZ
2017,thousand people,_L_KZ_010301_1C,2095.0,KAZ
2017,thousand people,Number of Beneficiaries: (low-income individuals and households),23.3,KAZ
2018,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),520.5,KAZ
2018,thousand people,Number of Beneficiaries: (unemployment benefits),47.7,KAZ
2018,thousand people,_L_KZ_010301_1B,2154.0,KAZ
2018,thousand people,_L_KZ_010301_1C,2152.3,KAZ
2018,thousand people,Number of Beneficiaries: (low-income individuals and households),571.6,KAZ
2019,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),538.5,KAZ
2019,thousand people,Number of Beneficiaries: (unemployment benefits),63.9,KAZ
2019,thousand people,_L_KZ_010301_1B,2179.6,KAZ
2019,thousand people,_L_KZ_010301_1C,2196.2,KAZ
2019,thousand people,Number of Beneficiaries: (low-income individuals and households),2177.2,KAZ
2020,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),551.6,KAZ
2020,thousand people,Number of Beneficiaries: (unemployment benefits),99.1,KAZ
2020,thousand people,_L_KZ_010301_1B,2193.4,KAZ
2020,thousand people,_L_KZ_010301_1C,2224.1,KAZ
2020,thousand people,Number of Beneficiaries: (low-income individuals and households),936.2,KAZ
2021,thousand people,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),484.0,KAZ
2021,thousand people,Number of Beneficiaries: (unemployment benefits),105.7,KAZ
2021,thousand people,_L_KZ_010301_1B,2195.5,KAZ
2021,thousand people,_L_KZ_010301_1C,2240.0,KAZ
2021,thousand people,Number of Beneficiaries: (low-income individuals and households),990.5,KAZ
