Year,UNIT_MEASURE,Regions,Value,M49_country_code
2010,Percent,,0.15,KAZ
2010,Percent,Akmola,0.1,KAZ
2010,Percent,Aktobe,0.05,KAZ
2010,Percent,Almaty,0.07,KAZ
2010,Percent,Atyrau,0.08,KAZ
2010,Percent,Batys Kazakhstan,0.02,KAZ
2010,Percent,Zhambyl,0.27,KAZ
2010,Percent,Karagandy,0.05,KAZ
2010,Percent,Kostanay,0.03,KAZ
2010,Percent,Kyzylorda,0.01,KAZ
2010,Percent,Mangistau,0.21,KAZ
2010,Percent,Ontustik Kazakhstan,0.04,KAZ
2010,Percent,Pavlodar,0.02,KAZ
2010,Percent,Soltustik Kazakhstan,0.02,KAZ
2010,Percent,Shygys Kazakhstan,0.41,KAZ
2010,Percent,Nur-Sultan city,0.25,KAZ
2010,Percent,Almaty city,0.34,KAZ
2011,Percent,,0.15,KAZ
2011,Percent,Akmola,0.06,KAZ
2011,Percent,Aktobe,0.04,KAZ
2011,Percent,Almaty,0.08,KAZ
2011,Percent,Atyrau,0.08,KAZ
2011,Percent,Batys Kazakhstan,0.03,KAZ
2011,Percent,Zhambyl,0.03,KAZ
2011,Percent,Karagandy,0.06,KAZ
2011,Percent,Kostanay,0.02,KAZ
2011,Percent,Kyzylorda,0.01,KAZ
2011,Percent,Mangistau,0.28,KAZ
2011,Percent,Ontustik Kazakhstan,0.03,KAZ
2011,Percent,Pavlodar,0.03,KAZ
2011,Percent,Soltustik Kazakhstan,0.02,KAZ
2011,Percent,Shygys Kazakhstan,0.26,KAZ
2011,Percent,Nur-Sultan city,0.43,KAZ
2011,Percent,Almaty city,0.34,KAZ
2012,Percent,,0.17,KAZ
2012,Percent,Akmola,0.08,KAZ
2012,Percent,Aktobe,0.04,KAZ
2012,Percent,Almaty,0.06,KAZ
2012,Percent,Atyrau,0.1,KAZ
2012,Percent,Batys Kazakhstan,0.03,KAZ
2012,Percent,Zhambyl,0.2,KAZ
2012,Percent,Karagandy,0.12,KAZ
2012,Percent,Kostanay,0.03,KAZ
2012,Percent,Kyzylorda,0.02,KAZ
2012,Percent,Mangistau,0.29,KAZ
2012,Percent,Ontustik Kazakhstan,0.05,KAZ
2012,Percent,Pavlodar,0.03,KAZ
2012,Percent,Soltustik Kazakhstan,0.03,KAZ
2012,Percent,Shygys Kazakhstan,0.22,KAZ
2012,Percent,Nur-Sultan city,0.39,KAZ
2012,Percent,Almaty city,0.33,KAZ
2013,Percent,,0.17,KAZ
2013,Percent,Akmola,0.08,KAZ
2013,Percent,Aktobe,0.03,KAZ
2013,Percent,Almaty,0.06,KAZ
2013,Percent,Atyrau,0.05,KAZ
2013,Percent,Batys Kazakhstan,0.05,KAZ
2013,Percent,Zhambyl,0.12,KAZ
2013,Percent,Karagandy,0.13,KAZ
2013,Percent,Kostanay,0.03,KAZ
