Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code
2014,mg per cube meters,PM2.5,SKFM «Borovoe»,0.0648,KAZ
2014,mg per cube meters,PM2.5,SHBKZ,0.0549,KAZ
2014,mg per cube meters,suspended particles PM-10,Nur-Sultan city,0.018,KAZ
2014,mg per cube meters,suspended particles PM-10,City Kokshetau,0.268,KAZ
2014,mg per cube meters,suspended particles PM-10,SKFM «Borovoe»,0.0709,KAZ
2014,mg per cube meters,suspended particles PM-10,SHBKZ,0.0585,KAZ
2014,mg per cube meters,suspended particles PM-10,city Aktobe,0.039,KAZ
2014,mg per cube meters,suspended particles PM-10,Almaty city,0.012,KAZ
2014,mg per cube meters,suspended particles PM-10,city Taldıkorgan,0.082,KAZ
2014,mg per cube meters,suspended particles PM-10,city Atyrau,0.456,KAZ
2014,mg per cube meters,suspended particles PM-10,Kulsary,0.0212,KAZ
2014,mg per cube meters,suspended particles PM-10,city Ust-Kamenogorsk,0.092,KAZ
2014,mg per cube meters,suspended particles PM-10,city Ridder,0.154,KAZ
2014,mg per cube meters,suspended particles PM-10,city Semey,0.215,KAZ
2014,mg per cube meters,suspended particles PM-10,city Zyryanovsk,0.013,KAZ
2014,mg per cube meters,suspended particles PM-10,city Taraz,0.047,KAZ
2014,mg per cube meters,suspended particles PM-10,city Uralsk,0.027,KAZ
2014,mg per cube meters,suspended particles PM-10,city Aksay,0.016,KAZ
2014,mg per cube meters,suspended particles PM-10,city Karagandy,0.023,KAZ
2014,mg per cube meters,suspended particles PM-10,city Temirtau,0.002,KAZ
2014,mg per cube meters,suspended particles PM-10,city Kostanay,0.049,KAZ
2014,mg per cube meters,suspended particles PM-10,city Rudny,0.012,KAZ
2014,mg per cube meters,suspended particles PM-10,city Arkalık,0.028,KAZ
2014,mg per cube meters,suspended particles PM-10,city Zhitikara,0.013,KAZ
2014,mg per cube meters,suspended particles PM-10,KZLIS,0.011,KAZ
2014,mg per cube meters,suspended particles PM-10,city Kyzylorda,0.003,KAZ
2014,mg per cube meters,suspended particles PM-10,village Akay,0.0001,KAZ
2014,mg per cube meters,suspended particles PM-10,village Toretam,0.0036,KAZ
2014,mg per cube meters,suspended particles PM-10,city Zhanaozen,0.0301,KAZ
2014,mg per cube meters,suspended particles PM-10,city Pavlodar,0.029,KAZ
2014,mg per cube meters,suspended particles PM-10,city Ekibastuz,0.0272,KAZ
2014,mg per cube meters,suspended particles PM-10,city Aksu,0.016,KAZ
2014,mg per cube meters,suspended particles PM-10,Ontustik Kazakhstan,0.0069,KAZ
2014,mg per cube meters,suspended particles PM-10,city Turkistan,0.058,KAZ
2015,mg per cube meters,PM2.5,City Stepnogorsk,0.006,KAZ
2015,mg per cube meters,PM2.5,SKFM «Borovoe»,0.026,KAZ
2015,mg per cube meters,PM2.5,SHBKZ,0.074,KAZ
2015,mg per cube meters,PM2.5,city Aktobe,0.018,KAZ
2015,mg per cube meters,PM2.5,city Atyrau,0.014,KAZ
2015,mg per cube meters,PM2.5,city Semey,0.024,KAZ
2015,mg per cube meters,PM2.5,village Glubokoye,0.0175,KAZ
2015,mg per cube meters,PM2.5,city Zhanatas,0.011,KAZ
2015,mg per cube meters,PM2.5,city Karatau,0.003,KAZ
2015,mg per cube meters,PM2.5,city Shu,0.023,KAZ
2015,mg per cube meters,PM2.5,village Kordai,0.02,KAZ
2015,mg per cube meters,PM2.5,village Berezovka,0.0078,KAZ
2015,mg per cube meters,PM2.5,village Yanvartsevo,0.011,KAZ
2015,mg per cube meters,PM2.5,city Karagandy,0.06,KAZ
