Year,UNIT_MEASURE,SERIES,Value,M49_country_code
2010,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",145.0,KAZ
2010,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.89,KAZ
2010,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",53.0,KAZ
2010,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.32,KAZ
2011,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",12.0,KAZ
2011,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.07,KAZ
2011,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",5.0,KAZ
2011,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.03,KAZ
2012,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",20.0,KAZ
2012,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.12,KAZ
2012,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",15.0,KAZ
2012,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.09,KAZ
2013,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",12.0,KAZ
2013,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.07,KAZ
2013,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",3.0,KAZ
2013,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.02,KAZ
2014,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",19.0,KAZ
2014,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.11,KAZ
2014,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",9.0,KAZ
2014,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.05,KAZ
2015,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",8.0,KAZ
2015,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.05,KAZ
2015,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",0.0,KAZ
2015,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.0,KAZ
2016,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",8.0,KAZ
2016,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.04,KAZ
2016,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",1.0,KAZ
2016,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.006,KAZ
2017,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",35.0,KAZ
2017,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.19,KAZ
2017,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",11.0,KAZ
2017,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.06,KAZ
2018,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",8.0,KAZ
2018,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.044,KAZ
2018,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",1.0,KAZ
2018,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.005,KAZ
2019,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",9.0,KAZ
2019,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.049,KAZ
2019,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",2.0,KAZ
2019,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.011,KAZ
2020,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",15.0,KAZ
2020,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.08,KAZ
2020,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",5.0,KAZ
2020,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.03,KAZ
2021,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",24.0,KAZ
2021,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.13,KAZ
2021,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",7.0,KAZ
2021,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.04,KAZ
