Year,UNIT_MEASURE,Regions,Value,M49_country_code
2016,Percent,,66.4,KAZ
2017,Percent,,68.6,KAZ
2018,Percent,,80.0,KAZ
2019,Percent,,85.1,KAZ
2019,Percent,Akmola,97.0,KAZ
2019,Percent,Aktobe,90.0,KAZ
2019,Percent,Almaty,76.7,KAZ
2019,Percent,Atyrau,89.6,KAZ
2019,Percent,Batys Kazakhstan,91.4,KAZ
2019,Percent,Zhambyl,91.5,KAZ
2019,Percent,Karagandy,82.6,KAZ
2019,Percent,Kostanay,89.7,KAZ
2019,Percent,Kyzylorda,89.2,KAZ
2019,Percent,Mangistau,66.2,KAZ
2019,Percent,Pavlodar,85.0,KAZ
2019,Percent,Soltustik Kazakhstan,89.2,KAZ
2019,Percent,Turkistan,89.9,KAZ
2019,Percent,Shygys Kazakhstan,96.7,KAZ
2019,Percent,Nur-Sultan city,84.1,KAZ
2019,Percent,Almaty city,89.0,KAZ
2019,Percent,Shymkent city,77.3,KAZ
2020,Percent,,81.4,KAZ
2020,Percent,Akmola,47.0,KAZ
2020,Percent,Aktobe,75.4,KAZ
2020,Percent,Almaty,85.7,KAZ
2020,Percent,Atyrau,87.0,KAZ
2020,Percent,Batys Kazakhstan,90.8,KAZ
2020,Percent,Zhambyl,96.6,KAZ
2020,Percent,Karagandy,70.9,KAZ
2020,Percent,Kostanay,47.0,KAZ
2020,Percent,Kyzylorda,70.9,KAZ
2020,Percent,Mangistau,88.5,KAZ
2020,Percent,Pavlodar,80.0,KAZ
2020,Percent,Soltustik Kazakhstan,65.0,KAZ
2020,Percent,Turkistan,95.3,KAZ
2020,Percent,Shygys Kazakhstan,70.4,KAZ
2020,Percent,Nur-Sultan city,100.0,KAZ
2020,Percent,Almaty city,100.0,KAZ
2020,Percent,Shymkent city,100.0,KAZ
2021,Percent,,82.0,KAZ
2021,Percent,Akmola,51.0,KAZ
2021,Percent,Aktobe,75.0,KAZ
2021,Percent,Almaty,87.7,KAZ
2021,Percent,Atyrau,98.0,KAZ
2021,Percent,Batys Kazakhstan,74.8,KAZ
2021,Percent,Zhambyl,97.3,KAZ
2021,Percent,Karagandy,82.0,KAZ
2021,Percent,Kostanay,70.0,KAZ
2021,Percent,Kyzylorda,70.8,KAZ
2021,Percent,Mangistau,88.5,KAZ
2021,Percent,Pavlodar,80.0,KAZ
2021,Percent,Soltustik Kazakhstan,65.0,KAZ
2021,Percent,Turkistan,97.0,KAZ
2021,Percent,Shygys Kazakhstan,59.0,KAZ
2021,Percent,Nur-Sultan city,100.0,KAZ
2021,Percent,Almaty city,100.0,KAZ
2021,Percent,Shymkent city,99.0,KAZ
