Year,UNIT_MEASURE,SERIES,Value,M49_country_code
2014,as a percentage to the previous year,Household expenditure per capita,106.7,KAZ
2014,as a percentage to the previous year,Household income per capita among population in general,108.1,KAZ
2014,as a percentage to the previous year,Household expenditure per capita among the poorest 40 percent of the population,106.7,KAZ
2014,as a percentage to the previous year,Household income per capita among the poorest 40 percent of the population,108.3,KAZ
2015,as a percentage to the previous year,Household expenditure per capita,103.7,KAZ
2015,as a percentage to the previous year,Household income per capita among population in general,105.5,KAZ
2015,as a percentage to the previous year,Household expenditure per capita among the poorest 40 percent of the population,103.1,KAZ
2015,as a percentage to the previous year,Household income per capita among the poorest 40 percent of the population,103.6,KAZ
2016,as a percentage to the previous year,Household expenditure per capita,108.7,KAZ
2016,as a percentage to the previous year,Household income per capita among population in general,108.2,KAZ
2016,as a percentage to the previous year,Household expenditure per capita among the poorest 40 percent of the population,109.3,KAZ
2016,as a percentage to the previous year,Household income per capita among the poorest 40 percent of the population,109.5,KAZ
2017,as a percentage to the previous year,Household expenditure per capita,110.7,KAZ
2017,as a percentage to the previous year,Household income per capita among population in general,107.0,KAZ
2017,as a percentage to the previous year,Household expenditure per capita among the poorest 40 percent of the population,109.2,KAZ
2017,as a percentage to the previous year,Household income per capita among the poorest 40 percent of the population,106.0,KAZ
2018,as a percentage to the previous year,Household expenditure per capita,110.5,KAZ
2018,as a percentage to the previous year,Household income per capita among population in general,110.2,KAZ
2018,as a percentage to the previous year,Household expenditure per capita among the poorest 40 percent of the population,111.1,KAZ
2018,as a percentage to the previous year,Household income per capita among the poorest 40 percent of the population,111.8,KAZ
2019,as a percentage to the previous year,Household expenditure per capita,109.0,KAZ
2019,as a percentage to the previous year,Household income per capita among population in general,110.1,KAZ
2019,as a percentage to the previous year,Household expenditure per capita among the poorest 40 percent of the population,108.9,KAZ
2019,as a percentage to the previous year,Household income per capita among the poorest 40 percent of the population,109.7,KAZ
2020,as a percentage to the previous year,Household expenditure per capita,107.0,KAZ
2020,as a percentage to the previous year,Household income per capita among population in general,107.5,KAZ
2020,as a percentage to the previous year,Household expenditure per capita among the poorest 40 percent of the population,107.9,KAZ
2020,as a percentage to the previous year,Household income per capita among the poorest 40 percent of the population,111.4,KAZ
2021,as a percentage to the previous year,Household expenditure per capita,113.0,KAZ
2021,as a percentage to the previous year,Household income per capita among population in general,111.4,KAZ
2021,as a percentage to the previous year,Household expenditure per capita among the poorest 40 percent of the population,109.4,KAZ
2021,as a percentage to the previous year,Household income per capita among the poorest 40 percent of the population,109.8,KAZ
