Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,SERIES,Age,Value,M49_country_code
2015,Percent,Physical violence,During lifetime,,16.2,KAZ
2015,Percent,Sexual harassment,During lifetime,,3.6,KAZ
2015,Percent,Physical violence/sexual harassment,During lifetime,,16.5,KAZ
2015,Percent,Physical violence,In the last 12 months,,4.5,KAZ
2015,Percent,Sexual harassment,In the last 12 months,,1.0,KAZ
2015,Percent,Physical violence/sexual harassment,In the last 12 months,,4.7,KAZ
2015,Percent,Physical violence,During lifetime,18 to 49 years old,16.0,KAZ
2015,Percent,Sexual harassment,During lifetime,18 to 49 years old,3.9,KAZ
2015,Percent,Physical violence/sexual harassment,During lifetime,18 to 49 years old,16.4,KAZ
2015,Percent,Physical violence,In the last 12 months,18 to 49 years old,5.3,KAZ
2015,Percent,Sexual harassment,In the last 12 months,18 to 49 years old,1.2,KAZ
2015,Percent,Physical violence/sexual harassment,In the last 12 months,18 to 49 years old,5.6,KAZ
