Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,Percent,,13.44,KAZ
2010,Percent,Corporate Income Tax,3.837788881260985,KAZ
2010,Percent,Individual Income Tax,1.431695291501916,KAZ
2010,Percent,Social Security Taxes,1.1635292108928703,KAZ
2010,Percent,Property Taxes,0.4946815734923908,KAZ
2010,Percent,Land Taxes,0.0617317638917289,KAZ
2010,Percent,Vehicle Tax,0.1203811906841355,KAZ
2010,Percent,Consolidated Land Tax,0.0034913188355792,KAZ
2010,Percent,Value added tax,3.1043455402280857,KAZ
2010,Percent,Royalties related to use of resources,1.0601296880940296,KAZ
2010,Percent,Registration fees,0.0446062157344242,KAZ
2010,Percent,Gambling tax,0.0243280823333226,KAZ
2010,Percent,Taxes related to international trade and foreign operations,1.7134574960272542,KAZ
2010,Percent,Excise taxes,0.2815570126346307,KAZ
2010,Percent,Government tariffs,0.107763947570438,KAZ
2011,Percent,,14.10023908200086,KAZ
2011,Percent,Corporate Income Tax,3.7190740772005846,KAZ
2011,Percent,Individual Income Tax,1.332168582708129,KAZ
2011,Percent,Social Security Taxes,1.051030432647247,KAZ
2011,Percent,Property Taxes,0.4156731979942805,KAZ
2011,Percent,Land Taxes,0.0459486094798102,KAZ
2011,Percent,Vehicle Tax,0.1061326203456045,KAZ
2011,Percent,Consolidated Land Tax,0.0028972475192102,KAZ
2011,Percent,Value added tax,3.0634533178716903,KAZ
2011,Percent,Royalties related to use of resources,1.0552649442112183,KAZ
2011,Percent,Registration fees,0.0423225519400032,KAZ
2011,Percent,Gambling tax,0.0209142919288607,KAZ
2011,Percent,Taxes related to international trade and foreign operations,2.881380644787028,KAZ
2011,Percent,Excise taxes,0.2705089343968119,KAZ
2011,Percent,Government tariffs,0.0934554387362666,KAZ
2012,Percent,,13.204390372567032,KAZ
2012,Percent,Corporate Income Tax,3.3571193631838407,KAZ
2012,Percent,Individual Income Tax,1.413816541289808,KAZ
2012,Percent,Social Security Taxes,1.0994513438007174,KAZ
2012,Percent,Property Taxes,0.4110407092756294,KAZ
2012,Percent,Land Taxes,0.0420392801344616,KAZ
2012,Percent,Vehicle Tax,0.0998246606522109,KAZ
2012,Percent,Consolidated Land Tax,0.0026446475827425,KAZ
2012,Percent,Value added tax,2.9481068453478207,KAZ
2012,Percent,Royalties related to use of resources,0.9799327415092836,KAZ
2012,Percent,Registration fees,0.0447535573073095,KAZ
2012,Percent,Gambling tax,0.0207789464297467,KAZ
2012,Percent,Taxes related to international trade and foreign operations,2.400255789532796,KAZ
2012,Percent,Excise taxes,0.3003147504751753,KAZ
2012,Percent,Government tariffs,0.0843016712838348,KAZ
2013,Percent,,13.275371720225834,KAZ
2013,Percent,Corporate Income Tax,2.868790457735201,KAZ
2013,Percent,Individual Income Tax,1.369456686542603,KAZ
2013,Percent,Social Security Taxes,1.056909377163383,KAZ
2013,Percent,Property Taxes,0.3956888742823205,KAZ
2013,Percent,Land Taxes,0.0393067575741099,KAZ
2013,Percent,Vehicle Tax,0.1000840833936917,KAZ
2013,Percent,Consolidated Land Tax,0.0023054493314598,KAZ
2013,Percent,Value added tax,3.688015307209528,KAZ
2013,Percent,Royalties related to use of resources,0.8679243325481056,KAZ
2013,Percent,Registration fees,0.0432302704636298,KAZ
2013,Percent,Gambling tax,0.0214859003084503,KAZ
2013,Percent,Taxes related to international trade and foreign operations,2.444647501484144,KAZ
2013,Percent,Excise taxes,0.2879272622260539,KAZ
2013,Percent,Government tariffs,0.0893120242503456,KAZ
2014,Percent,,12.9,KAZ
2014,Percent,Corporate Income Tax,2.948058606384543,KAZ
2014,Percent,Individual Income Tax,1.3919815747078368,KAZ
2014,Percent,Social Security Taxes,1.0787040443061495,KAZ
2014,Percent,Property Taxes,0.436423223259366,KAZ
2014,Percent,Land Taxes,0.0360425352235264,KAZ
2014,Percent,Vehicle Tax,0.0979029114906369,KAZ
2014,Percent,Consolidated Land Tax,0.0022090838797236,KAZ
2014,Percent,Value added tax,3.0198984616974736,KAZ
2014,Percent,Royalties related to use of resources,0.7008874983068597,KAZ
2014,Percent,Registration fees,0.043315888746396,KAZ
2014,Percent,Gambling tax,0.0224026105094065,KAZ
2014,Percent,Taxes related to international trade and foreign operations,2.656666899350512,KAZ
2014,Percent,Excise taxes,0.3701643199362804,KAZ
2014,Percent,Government tariffs,0.0887108583546837,KAZ
2015,Percent,,11.9,KAZ
2015,Percent,Corporate Income Tax,2.9954046287367824,KAZ
2015,Percent,Individual Income Tax,1.4646434635791328,KAZ
2015,Percent,Social Security Taxes,1.136562009871184,KAZ
2015,Percent,Property Taxes,0.5111622194416761,KAZ
2015,Percent,Land Taxes,0.0365302878450138,KAZ
2015,Percent,Vehicle Tax,0.1034088818533505,KAZ
2015,Percent,Consolidated Land Tax,0.0020369100983223,KAZ
2015,Percent,Value added tax,2.31003557405262,KAZ
2015,Percent,Royalties related to use of resources,0.6520654853715917,KAZ
2015,Percent,Registration fees,0.0549034337468753,KAZ
2015,Percent,Gambling tax,0.0258546740186026,KAZ
2015,Percent,Taxes related to international trade and foreign operations,2.152578790909513,KAZ
2015,Percent,Excise taxes,0.3939627865128344,KAZ
2015,Percent,Government tariffs,0.1065921807226459,KAZ
2016,Percent,,12.8,KAZ
2016,Percent,Corporate Income Tax,3.060100751852957,KAZ
2016,Percent,Individual Income Tax,1.4727723929161625,KAZ
2016,Percent,Social Security Taxes,1.129288814262606,KAZ
