Year,UNIT_MEASURE,Area,Regions,Value,M49_country_code
2010,Percent,urban,,82.0,KAZ
2010,Percent,rural,,60.0,KAZ
2011,Percent,urban,,82.0,KAZ
2011,Percent,rural,,42.5,KAZ
2012,Percent,urban,,84.0,KAZ
2012,Percent,rural,,43.0,KAZ
2013,Percent,urban,,85.0,KAZ
2013,Percent,rural,,47.7,KAZ
2014,Percent,urban,,86.0,KAZ
2014,Percent,rural,,50.3,KAZ
2015,Percent,urban,,87.0,KAZ
2015,Percent,rural,,51.5,KAZ
2016,Percent,urban,,88.0,KAZ
2016,Percent,rural,,52.3,KAZ
2017,Percent,urban,,90.0,KAZ
2017,Percent,rural,,55.0,KAZ
2018,Percent,urban,,94.5,KAZ
2018,Percent,rural,,59.9,KAZ
2019,Percent,urban,,97.2,KAZ
2019,Percent,rural,,64.3,KAZ
