Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,million US dollars,_L_ODA_RCP_GR,27.97,KAZ
2010,million US dollars,_L_ODA_RCP_NT,27.97,KAZ
2011,million US dollars,_L_ODA_RCP_GR,17.92,KAZ
2011,million US dollars,_L_ODA_RCP_NT,17.92,KAZ
2012,million US dollars,_L_ODA_RCP_GR,13.2,KAZ
2012,million US dollars,_L_ODA_RCP_NT,13.2,KAZ
2013,million US dollars,_L_ODA_RCP_GR,7.38,KAZ
2013,million US dollars,_L_ODA_RCP_NT,7.36,KAZ
2014,million US dollars,_L_ODA_RCP_GR,9.05,KAZ
2014,million US dollars,_L_ODA_DNR_GR,0.04,KAZ
2014,million US dollars,_L_ODA_RCP_NT,9.04,KAZ
2014,million US dollars,_L_ODA_DNR_NT,0.04,KAZ
2015,million US dollars,_L_ODA_RCP_GR,4.47,KAZ
2015,million US dollars,_L_ODA_RCP_NT,4.47,KAZ
2016,million US dollars,_L_ODA_RCP_GR,6.78,KAZ
2016,million US dollars,_L_ODA_RCP_NT,6.77,KAZ
2017,million US dollars,_L_ODA_RCP_GR,11.98,KAZ
2017,million US dollars,_L_ODA_RCP_NT,11.34,KAZ
2018,million US dollars,_L_ODA_RCP_GR,5.83,KAZ
2018,million US dollars,_L_ODA_RCP_NT,5.83,KAZ
2019,million US dollars,_L_ODA_RCP_GR,7.05,KAZ
2019,million US dollars,_L_ODA_RCP_NT,6.91,KAZ
