Year,UNIT_MEASURE,SERIES,Value,M49_country_code
2010,Percent,developing countries,10.9,KAZ
2010,Percent,developed countries,9.2,KAZ
2011,Percent,developing countries,11.1,KAZ
2011,Percent,developed countries,9.2,KAZ
2012,Percent,developing countries,11.3,KAZ
2012,Percent,developed countries,9.4,KAZ
2013,Percent,developing countries,10.2,KAZ
2013,Percent,developed countries,8.4,KAZ
2014,Percent,developing countries,8.7,KAZ
2014,Percent,developed countries,7.3,KAZ
2015,Percent,developing countries,8.7,KAZ
2015,Percent,developed countries,7.2,KAZ
2016,Percent,developing countries,8.4,KAZ
2016,Percent,developed countries,6.9,KAZ
2017,Percent,developing countries,6.7,KAZ
2017,Percent,developed countries,5.4,KAZ
2018,Percent,developing countries,5.3,KAZ
2018,Percent,developed countries,3.9,KAZ
2019,Percent,developing countries,6.4,KAZ
2019,Percent,developed countries,4.0,KAZ
2020,Percent,developing countries,6.1,KAZ
2020,Percent,developed countries,4.9,KAZ
2021,Percent,developing countries,4.9,KAZ
2021,Percent,developed countries,5.1,KAZ
