Year,UNIT_MEASURE,SERIES,Value,M49_country_code
2010,Percent,_L_KZ_010a02_1B,12.9,KAZ
2010,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.0,KAZ
2010,Percent,"Proportion of total government spending on essential services, health [1.a.2]",10.7,KAZ
2010,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",17.4,KAZ
2010,Percent,_L_KZ_010a02_1A,4.7,KAZ
2011,Percent,_L_KZ_010a02_1B,11.0,KAZ
2011,Percent,"Proportion of total government spending on essential services, education [1.a.2]",16.2,KAZ
2011,Percent,"Proportion of total government spending on essential services, health [1.a.2]",10.0,KAZ
2011,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",18.1,KAZ
2011,Percent,_L_KZ_010a02_1A,3.8,KAZ
2012,Percent,_L_KZ_010a02_1B,11.3,KAZ
2012,Percent,"Proportion of total government spending on essential services, education [1.a.2]",17.1,KAZ
2012,Percent,"Proportion of total government spending on essential services, health [1.a.2]",10.3,KAZ
2012,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",17.5,KAZ
2012,Percent,_L_KZ_010a02_1A,3.4,KAZ
2013,Percent,_L_KZ_010a02_1B,10.4,KAZ
2013,Percent,"Proportion of total government spending on essential services, education [1.a.2]",16.6,KAZ
2013,Percent,"Proportion of total government spending on essential services, health [1.a.2]",10.6,KAZ
2013,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",18.5,KAZ
2013,Percent,_L_KZ_010a02_1A,3.5,KAZ
2014,Percent,_L_KZ_010a02_1B,10.2,KAZ
2014,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.4,KAZ
2014,Percent,"Proportion of total government spending on essential services, health [1.a.2]",9.7,KAZ
2014,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",17.8,KAZ
2014,Percent,_L_KZ_010a02_1A,3.4,KAZ
2015,Percent,_L_KZ_010a02_1B,10.4,KAZ
2015,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.3,KAZ
2015,Percent,"Proportion of total government spending on essential services, health [1.a.2]",9.7,KAZ
2015,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",19.3,KAZ
2015,Percent,_L_KZ_010a02_1A,3.3,KAZ
2016,Percent,_L_KZ_010a02_1B,10.7,KAZ
2016,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.9,KAZ
2016,Percent,"Proportion of total government spending on essential services, health [1.a.2]",9.9,KAZ
2016,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",19.1,KAZ
2016,Percent,_L_KZ_010a02_1A,3.1,KAZ
2017,Percent,_L_KZ_010a02_1B,10.7,KAZ
2017,Percent,"Proportion of total government spending on essential services, education [1.a.2]",13.6,KAZ
2017,Percent,"Proportion of total government spending on essential services, health [1.a.2]",8.3,KAZ
2017,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",17.1,KAZ
2017,Percent,_L_KZ_010a02_1A,2.9,KAZ
2018,Percent,_L_KZ_010a02_1B,10.8,KAZ
2018,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.9,KAZ
2018,Percent,"Proportion of total government spending on essential services, health [1.a.2]",9.5,KAZ
2018,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",22.4,KAZ
2018,Percent,_L_KZ_010a02_1A,3.7,KAZ
2019,Percent,_L_KZ_010a02_1B,11.2,KAZ
2019,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.6,KAZ
2019,Percent,"Proportion of total government spending on essential services, health [1.a.2]",8.6,KAZ
2019,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",23.2,KAZ
2020,Percent,_L_KZ_010a02_1A,3.1,KAZ
2020,Percent,_L_KZ_010a02_1B,13.4,KAZ
2020,Percent,"Proportion of total government spending on essential services, education [1.a.2]",18.0,KAZ
2020,Percent,"Proportion of total government spending on essential services, health [1.a.2]",11.2,KAZ
2020,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",21.6,KAZ
2020,Percent,_L_KZ_010a02_1A,2.87,KAZ
